Date,Avg
2020-08-10,205.43
2020-08-11,201.78
2020-08-12,203.86
2020-08-13,206.06
2020-08-14,204.88
2020-08-17,206.36
2020-08-18,207.07
2020-08-19,207.47
2020-08-20,208.73
2020-08-21,211.28
2020-08-24,210.71
2020-08-25,211.58
2020-08-26,216.38
2020-08-27,221.84
2020-08-28,225.13
2020-08-31,223.05
2020-09-01,222.5
2020-09-02,226.6
2020-09-03,218.75
2020-09-04,208.55
2020-09-08,202.97
2020-09-09,207.56
2020-09-10,206.23
2020-09-11,201.81
2020-09-14,203.47
2020-09-15,205.18
2020-09-16,204.48
2020-09-17,199.06
2020-09-18,196.9
2020-09-21,196.5
2020-09-22,201.97
2020-09-23,200.96
2020-09-24,199.3
2020-09-25,202.65
2020-09-28,207.11
2020-09-29,205.26
2020-09-30,206.07
2020-10-01,209.41
2020-10-02,205.09
2020-10-05,205.52
2020-10-06,204.34
2020-10-07,205.24
2020-10-08,206.56
2020-10-09,210.29
2020-10-12,216.98
2020-10-13,219.42
2020-10-14,218.3
2020-10-15,214.86
2020-10-16,217.44
2020-10-19,214.69
2020-10-20,211.95
2020-10-21,211.74
2020-10-22,210.62
2020-10-23,211.45
2020-10-26,208.99
2020-10-27,209.26
2020-10-28,202.34
2020-10-29,202.24
2020-10-30,198.88
2020-11-02,199.61
2020-11-03,202.49
2020-11-04,212.09
2020-11-05,219.24
2020-11-06,217.82
2020-11-09,219.6
2020-11-10,209.86
2020-11-11,211.84
2020-11-12,213.48
2020-11-13,212.5
2020-11-16,212.84
2020-11-17,212.59
2020-11-18,210.35
2020-11-19,208.8
2020-11-20,208.97
2020-11-23,207.56
2020-11-24,208.88
2020-11-25,211.17
2020-11-27,212.43
2020-11-30,210.11
2020-12-01,212.61
2020-12-02,211.42
2020-12-03,212.29
2020-12-04,211.57
2020-12-07,211.55
2020-12-08,212.2
2020-12-09,210.52
2020-12-10,209.04
2020-12-11,208.54
2020-12-14,211.83
2020-12-15,211.12
2020-12-16,214.66
2020-12-17,216.63
2020-12-18,215.1
2020-12-21,217.85
2020-12-22,220.91
2020-12-23,219.37
2020-12-24,219.59
2020-12-28,221.68
2020-12-29,222.53
2020-12-30,220.72
2020-12-31,218.54
2021-01-04,216.13
2021-01-05,214.36
2021-01-06,211.5
2021-01-07,213.78
2021-01-08,216.04
2021-01-11,215.06
2021-01-12,212.49
2021-01-13,212.62
2021-01-14,212.38
2021-01-15,210.57
2021-01-19,212.09
2021-01-20,218.74
2021-01-21,221.52
2021-01-22,225.05
2021-01-25,224.13
2021-01-26,229.19
2021-01-27,232.31
2021-01-28,235.84
2021-01-29,231.71
2021-02-01,234.46
2021-02-02,237.46
2021-02-03,239.11
2021-02-04,238.74
2021-02-05,238.79
2021-02-08,239.18
2021-02-09,239.99
2021-02-10,240.32
2021-02-11,240.57
2021-02-12,240.93
2021-02-16,241.43
2021-02-17,240.11
2021-02-18,239.88
2021-02-19,239.51
2021-02-22,232.72
2021-02-23,229.37
2021-02-24,229.69
2021-02-25,228.83
2021-02-26,230.04
2021-03-01,232.87
2021-03-02,232.93
2021-03-03,228.03
2021-03-04,226.0
2021-03-05,227.48
2021-03-08,227.86
2021-03-09,231.1
2021-03-10,232.08
2021-03-11,234.28
2021-03-12,232.09
2021-03-15,231.08
2021-03-16,235.53
2021-03-17,233.44
2021-03-18,229.85
2021-03-19,228.51
2021-03-22,231.1
2021-03-23,236.58
2021-03-24,234.2
2021-03-25,231.82
2021-03-26,231.7
2021-03-29,231.91
2021-03-30,230.06
2021-03-31,233.3
2021-04-01,237.95
2021-04-05,243.77
2021-04-06,245.56
2021-04-07,246.47
2021-04-08,250.44
2021-04-09,251.58
2021-04-12,253.49
2021-04-13,255.33
2021-04-14,254.33
2021-04-15,256.14
2021-04-16,256.61
2021-04-19,256.95
2021-04-20,255.84
2021-04-21,256.28
2021-04-22,256.02
2021-04-23,256.7
2021-04-26,258.59
2021-04-27,258.94
2021-04-28,252.1
2021-04-29,249.93
2021-04-30,248.73
2021-05-03,250.11
2021-05-04,245.9
2021-05-05,245.09
2021-05-06,244.71
2021-05-07,250.11
2021-05-10,246.83
2021-05-11,242.05
2021-05-12,238.72
2021-05-13,240.98
2021-05-14,244.77
2021-05-17,242.51
2021-05-18,242.11
2021-05-19,238.96
2021-05-20,243.91
2021-05-21,244.54
2021-05-24,247.32
2021-05-25,249.75
2021-05-26,249.81
2021-05-27,248.34
2021-05-28,248.79
2021-06-01,247.11
2021-06-02,245.55
2021-06-03,242.69
2021-06-04,247.56
2021-06-07,249.91
2021-06-08,252.2
2021-06-09,252.31
2021-06-10,253.5
2021-06-11,255.46
2021-06-14,256.28
2021-06-15,256.74
2021-06-16,255.41
2021-06-17,256.78
2021-06-18,258.41
2021-06-21,258.61
2021-06-22,261.96
2021-06-23,263.48
2021-06-24,264.5
2021-06-25,263.85
2021-06-28,265.24
2021-06-29,267.63
2021-06-30,268.29
2021-07-01,268.53
2021-07-02,273.02
2021-07-06,274.59
2021-07-07,276.66
2021-07-08,274.56
2021-07-09,274.44
2021-07-12,275.92
2021-07-13,277.85
2021-07-14,279.82
2021-07-15,278.89
2021-07-16,279.5
2021-07-19,275.16
2021-07-20,276.36
2021-07-21,277.14
2021-07-22,282.61
2021-07-23,285.91
2021-07-26,285.83
2021-07-27,283.95
2021-07-28,284.67
2021-07-29,285.02
2021-07-30,282.97
2021-08-02,282.94
2021-08-03,283.3
2021-08-04,283.8
2021-08-05,285.53
2021-08-06,286.22
2021-08-09,287.33
2021-08-10,284.9
2021-08-11,284.93
2021-08-12,285.82
2021-08-13,288.74
2021-08-16,290.05
2021-08-17,289.89
2021-08-18,290.73
2021-08-19,291.24
2021-08-20,300.08
2021-08-23,301.74
2021-08-24,301.94
2021-08-25,300.63
2021-08-26,298.83
2021-08-27,297.0
2021-08-30,300.76
2021-08-31,301.12
2021-09-01,301.46
2021-09-02,299.9
2021-09-03,299.56
2021-09-07,297.79
2021-09-08,297.19
2021-09-09,297.71
2021-09-10,295.8
2021-09-13,294.47
2021-09-14,297.89
2021-09-15,301.69
2021-09-16,301.16
2021-09-17,300.14
2021-09-20,292.3
2021-09-21,293.97
2021-09-22,295.52
2021-09-23,297.36
2021-09-24,296.51
2021-09-27,292.88
2021-09-28,284.99
2021-09-29,283.12
2021-09-30,282.96
2021-10-01,283.86
2021-10-04,282.24
2021-10-05,285.44
2021-10-06,287.77
2021-10-07,293.45
2021-10-08,293.37
2021-10-11,293.53
2021-10-12,292.07
2021-10-13,293.55
2021-10-14,298.69
2021-10-15,300.61
2021-10-18,303.56
2021-10-19,306.35
2021-10-20,306.0
2021-10-21,306.78
2021-10-22,307.53
2021-10-25,306.02
2021-10-26,308.57
2021-10-27,319.06
2021-10-28,321.11
2021-10-29,325.92
2021-11-01,326.89
2021-11-02,329.67
2021-11-03,330.71
2021-11-04,330.96
2021-11-05,334.52
2021-11-08,333.96
2021-11-09,334.54
2021-11-10,330.21
2021-11-11,330.08
2021-11-12,333.43
2021-11-15,333.87
2021-11-16,335.99
2021-11-17,338.6
2021-11-18,338.3
2021-11-19,342.14
2021-11-22,343.1
2021-11-23,335.03
2021-11-24,334.56
2021-11-26,331.57
2021-11-29,335.41
2021-11-30,331.92
2021-12-01,332.87
2021-12-02,329.2
2021-12-03,323.94
2021-12-06,321.92
2021-12-07,331.49
2021-12-08,331.69
2021-12-09,332.84
2021-12-10,337.41
2021-12-13,339.94
2021-12-14,327.93
2021-12-15,328.4
2021-12-16,328.44
2021-12-17,319.68
2021-12-20,318.78
2021-12-21,322.35
2021-12-22,328.24
2021-12-23,333.09
2021-12-27,337.47
2021-12-28,340.57
2021-12-29,340.49
2021-12-30,339.48
2021-12-31,336.13
2022-01-03,332.43
2022-01-04,329.21
2022-01-05,319.62
2022-01-06,313.71
2022-01-07,311.92
2022-01-10,308.35
2022-01-11,311.88
2022-01-12,318.84
2022-01-13,311.07
2022-01-14,305.94
2022-01-18,304.43
2022-01-19,306.95
2022-01-20,305.05
2022-01-21,298.55
2022-01-24,285.32
2022-01-25,288.81
2022-01-26,299.45
2022-01-27,301.29
2022-01-28,300.14
2022-01-31,308.02
2022-02-01,306.53
2022-02-02,310.63
2022-02-03,304.26
2022-02-04,303.05
2022-02-07,302.54
2022-02-08,301.43
2022-02-09,308.3
2022-02-10,303.57
2022-02-11,297.94
2022-02-14,292.77
2022-02-15,297.6
2022-02-16,296.58
2022-02-17,292.72
2022-02-18,289.41
2022-02-22,287.35
2022-02-23,285.24
2022-02-24,282.68
2022-02-25,293.96
2022-02-28,295.38
2022-03-01,295.37
2022-03-02,296.89
2022-03-03,297.9
2022-03-04,290.74
2022-03-07,283.45
2022-03-08,276.34
2022-03-09,284.53
2022-03-10,282.93
2022-03-11,283.81
2022-03-14,279.96
2022-03-15,282.62
2022-03-16,288.21
2022-03-17,291.81
2022-03-18,296.18
2022-03-21,296.83
2022-03-22,301.18
2022-03-23,299.78
2022-03-24,300.56
2022-03-25,301.69
2022-03-28,306.85
2022-03-29,311.71
2022-03-30,313.04
2022-03-31,310.79
2022-04-01,307.12
2022-04-04,311.68
2022-04-05,311.64
2022-04-06,301.15
2022-04-07,299.3
2022-04-08,298.01
2022-04-11,288.13
2022-04-12,284.95
2022-04-13,284.28
2022-04-14,283.16
2022-04-18,279.75
2022-04-19,281.63
2022-04-20,286.87
2022-04-21,286.01
2022-04-22,277.64
2022-04-25,275.3
2022-04-26,273.54
2022-04-27,284.4
2022-04-28,285.55
2022-04-29,282.53
2022-05-02,279.93
2022-05-03,281.48
2022-05-04,283.15
2022-05-05,279.69
2022-05-06,274.62
2022-05-09,267.22
2022-05-10,268.78
2022-05-11,264.71
2022-05-12,254.36
2022-05-13,258.59
2022-05-16,260.19
2022-05-17,264.78
2022-05-18,258.19
2022-05-19,254.78
2022-05-20,252.49
2022-05-23,257.46
2022-05-24,257.41
2022-05-25,260.85
2022-05-26,264.27
2022-05-27,270.45
2022-05-31,271.85
2022-06-01,273.87
2022-06-02,268.12
2022-06-03,270.93
2022-06-06,270.7
2022-06-07,269.54
2022-06-08,271.3
2022-06-09,268.67
2022-06-10,256.55
2022-06-13,245.28
2022-06-14,243.62
2022-06-15,250.86
2022-06-16,245.22
2022-06-17,247.26
2022-06-21,252.13
2022-06-22,253.77
2022-06-23,256.5
2022-06-24,264.85
2022-06-27,265.79
2022-06-28,261.62
2022-06-29,258.86
2022-06-30,256.21
2022-07-01,257.19
2022-07-05,258.86
2022-07-06,265.19
2022-07-07,267.04
2022-07-08,265.7
2022-07-11,264.35
2022-07-12,258.99
2022-07-13,250.83
2022-07-14,250.54
2022-07-15,257.57
2022-07-18,257.07
2022-07-19,256.7
2022-07-20,261.89
2022-07-21,260.96
2022-07-22,262.2
2022-07-25,259.15
2022-07-26,254.73
2022-07-27,264.45
2022-07-28,272.85
2022-07-29,279.32
2022-08-01,278.56
2022-08-02,275.14
2022-08-03,280.05
2022-08-04,281.99
2022-08-05,281.16
2022-08-08,282.62
2022-08-09,279.77
